language,query,medicine,intent
kn,Metformin ಅನ್ನು ಯಾವುದಕ್ಕಾಗಿ ಬಳಸುತ್ತಾರೆ?,Metformin,uses
en,What is the purpose of taking Ibuprofen?,Ibuprofen,uses
kn,Aspirin ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.,Aspirin,medicine_info
en,What should I know about Aspirin?,Aspirin,medicine_info
en,What problems might occur after taking Aspirin?,Aspirin,side_effects
kn,Aspirin ನಿಂದ ಯಾವುದೇ ಪ್ರತಿಕೂಲ ಪರಿಣಾಮಗಳಿವೆಯೇ?,Aspirin,side_effects
tulu,Aspirin ಯೆಂಚಿನ ಸಂದರ್ಭಡ್ ತಿನ್ಪುನೆ ಸರಿಯಲ್ಲ?,Aspirin,contraindications
en,Is it safe to combine Metformin with other drugs?,Metformin,interactions
en,Are there any warnings about Aspirin?,Aspirin,warnings
tulu,Metformin ಎಂಚಿನ ಬಳಕೆಗ್ ಬರ್ಪುಂಡು?,Metformin,uses
en,Can you tell me about Ibuprofen?,Ibuprofen,medicine_info
kn,Paracetamol ಬಳಸುವಾಗ ಯಾವ ಮುನ್ನೆಚ್ಚರಿಕೆ ಬೇಕು?,Paracetamol,warnings
kn,Aspirin ತೆಗೆದುಕೊಳ್ಳುವಾಗ ಯಾವುದರ ಬಗ್ಗೆ ಜಾಗರೂಕರಾಗಬೇಕು?,Aspirin,warnings
kn,Paracetamol ಅನ್ನು ಎಷ್ಟು ಪ್ರಮಾಣದಲ್ಲಿ ತೆಗೆದುಕೊಳ್ಳಬೇಕು?,Paracetamol,dosage
en,What is the usual dose of Paracetamol?,Paracetamol,dosage
en,What safety information should I know about Metformin?,Metformin,warnings
tulu,Paracetamol ತಿನ್ಪುನಗ ಯೆಂಚಿನ ಜಾಗ್ರತೆ ಬೇಕು?,Paracetamol,warnings
kn,Aspirin ಯಾವ ಕಾಯಿಲೆಗೆ ಉಪಯೋಗವಾಗುತ್ತದೆ?,Aspirin,uses
kn,ಯಾರು Aspirin ತೆಗೆದುಕೊಳ್ಳಬಾರದು?,Aspirin,contraindications
kn,Metformin ನ ಮುಖ್ಯ ಬಳಕೆ ಏನು?,Metformin,uses
en,What is Metformin used to treat?,Metformin,uses
kn,Paracetamol ಅನ್ನು ಹೇಗೆ ಮತ್ತು ಎಷ್ಟು ತೆಗೆದುಕೊಳ್ಳಬೇಕು?,Paracetamol,dosage
en,Does Aspirin have any drug interactions?,Aspirin,interactions
tulu,Metformin ತಿನ್ಪುನಗ ಯೆಂಚಿನ ಜಾಗ್ರತೆ ಬೇಕು?,Metformin,warnings
tulu,Paracetamol ಬಳಕೆ ಮುಂಚೆ ಎಂಚಿನ ಮಾಹಿತಿ ಗೊತ್ತುಪ್ಪು?,Paracetamol,warnings
en,Why is Paracetamol prescribed?,Paracetamol,uses
tulu,Paracetamol ಯಾತಕ್ಕೆ ಬಳಕೆ ಆಪುಂಡು?,Paracetamol,uses
kn,ಯಾರು Ibuprofen ತೆಗೆದುಕೊಳ್ಳಬಾರದು?,Ibuprofen,contraindications
tulu,Paracetamol ತಿನ್ಪುನಗ ಎಂಚಿನ ತೊಂದರೆ ಆಪುಂಡು?,Paracetamol,side_effects
en,What is the purpose of taking Paracetamol?,Paracetamol,uses
en,Who should not take Paracetamol?,Paracetamol,contraindications
tulu,Metformin ತಿನ್ಪುನಗ ಎಂಚಿನ ತೊಂದರೆ ಆಪುಂಡು?,Metformin,side_effects
