language,query,medicine,intent
en,How do I take Naproxen?,Naproxen,dosage
tulu,Insulin Glargine ದೆಂದ್?,Insulin Glargine,medicine_info
en,When should Sitagliptin not be used?,Sitagliptin,contraindications
en,What medicines can interact with Losartan?,Losartan,interactions
tulu,Amlodipine ದ ಬಗ್ಗೆ ಮಾಹಿತಿ ಕೊರ್ಲೆ.,Amlodipine,medicine_info
en,When should Diclofenac not be used?,Diclofenac,contraindications
en,Are there any warnings about Enalapril?,Enalapril,warnings
en,Can Sulfasalazine cause any side effects?,Sulfasalazine,side_effects
en,What problems can Ibuprofen cause?,Ibuprofen,side_effects
en,What are the side effects of Chlorthalidone?,Chlorthalidone,side_effects
en,Can Dapagliflozin interact with other drugs?,Dapagliflozin,interactions
kn,Celecoxib ಎಂದರೇನು?,Celecoxib,medicine_info
en,Who should avoid Glipizide?,Glipizide,contraindications
kn,Clonidine ಬಗ್ಗೆ ಯಾವ ಎಚ್ಚರಿಕೆಗಳನ್ನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು?,Clonidine,warnings
kn,Prednisolone ಎಂದರೇನು?,Prednisolone,medicine_info
en,Can Enalapril interact with other drugs?,Enalapril,interactions
tulu,Prednisolone ದ ಬಗ್ಗೆ ಮಾಹಿತಿ ಕೊರ್ಲೆ.,Prednisolone,medicine_info
tulu,ಎಂಚಿನ ಮರ್ದ್‌ಲು Methotrexate ಬೊಕ್ಕ ಪರಸ್ಪರ ಕ್ರಿಯೆ ಮಲ್ಪುಂಡು?,Methotrexate,interactions
kn,Metformin ಅನ್ನು ಯಾವುದಕ್ಕಾಗಿ ಬಳಸುತ್ತಾರೆ?,Metformin,uses
tulu,Chlorthalidone ದೆತೊನುವಾಗ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಕೊರ್ಲೆ?,Chlorthalidone,warnings
en,What warnings should I know about Atenolol?,Atenolol,warnings
kn,Empagliflozin ಅನ್ನು ಯಾವಾಗ ಬಳಸಬಾರದು?,Empagliflozin,contraindications
en,Who should not take Colchicine?,Colchicine,contraindications
en,Are there any warnings about Acarbose?,Acarbose,warnings
en,Does Amlodipine interact with other medicines?,Amlodipine,interactions
tulu,Vildagliptin ಬಗ್ಗೆ ಎಂಕ್ ಏನ್ ಗೊತ್ತ್ ಆಪುನ?,Vildagliptin,medicine_info
tulu,Hydrochlorothiazide ಯಾನ್ ಎಂಚ ದೆತೊನ್ಬೇಕು?,Hydrochlorothiazide,dosage
en,Who should not take Metformin?,Metformin,contraindications
tulu,Hydroxychloroquine ಯಾನ್ ಯಾರೆ ದೆತೊನ್ಬಾರದು?,Hydroxychloroquine,contraindications
en,What conditions is Chlorthalidone used for?,Chlorthalidone,uses
en,Does Sitagliptin interact with other medicines?,Sitagliptin,interactions
kn,Vildagliptin ನ ಅಡ್ಡ ಪರಿಣಾಮಗಳು ಯಾವುವು?,Vildagliptin,side_effects
tulu,Acarbose ಬಗ್ಗೆ ಎಚ್ಚರಿಕೆ ಉಂಡಾ?,Acarbose,warnings
kn,Hydrochlorothiazide ಏಕೆ ಬಳಸಲಾಗುತ್ತದೆ?,Hydrochlorothiazide,uses
en,What problems can Insulin Glargine cause?,Insulin Glargine,side_effects
kn,Hydrochlorothiazide ಅನ್ನು ಯಾರು ತೆಗೆದುಕೊಳ್ಳಬಾರದು?,Hydrochlorothiazide,contraindications
kn,Pioglitazone ಇತರ ಔಷಧಿಗಳೊಂದಿಗೆ ಪ್ರತಿಕ್ರಿಯಿಸಬಹುದೇ?,Pioglitazone,interactions
kn,Hydroxychloroquine ಬಗ್ಗೆ ನಾನು ಏನು ತಿಳಿದುಕೊಳ್ಳಬೇಕು?,Hydroxychloroquine,medicine_info
tulu,Chlorthalidone ಬಗ್ಗೆ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಉಂಡು?,Chlorthalidone,warnings
en,Who should not take Amlodipine?,Amlodipine,contraindications
tulu,Metformin ಯಾನ್ ಎಂಚ ಉಪಯೋಗ ಮಲ್ಪುಲೆ?,Metformin,dosage
tulu,Carvedilol ಯಾನ್ ಯಾನ್ ಸಮಯಡ್ ದೆತೊನ್ಬಾರದು?,Carvedilol,contraindications
tulu,Carvedilol ದೆತೊನುವಾಗ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಕೊರ್ಲೆ?,Carvedilol,warnings
tulu,Insulin Glargine ದೆತೊನುವಾಗ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಕೊರ್ಲೆ?,Insulin Glargine,warnings
kn,Prednisolone ನ ಅಡ್ಡ ಪರಿಣಾಮಗಳು ಯಾವುವು?,Prednisolone,side_effects
kn,Glimepiride ಅನ್ನು ಯಾವುದಕ್ಕಾಗಿ ಬಳಸುತ್ತಾರೆ?,Glimepiride,uses
tulu,Metformin ದೆತೊನುವಾಗ ಎಂಚಿನ ಎಚ್ಚರಿಕೆ ಕೊರ್ಲೆ?,Metformin,warnings
