language,query,medicine,intent
en,What is Metformin?,Metformin,medicine_info
en,Tell me about Metformin.,Metformin,medicine_info
en,What do I need to know about Metformin?,Metformin,medicine_info
en,What is Metformin used for?,Metformin,uses
en,Why is Metformin used?,Metformin,uses
en,What conditions is Metformin used for?,Metformin,uses
en,What are the side effects of Metformin?,Metformin,side_effects
en,Can Metformin cause any side effects?,Metformin,side_effects
en,What problems can Metformin cause?,Metformin,side_effects
en,Who should not take Metformin?,Metformin,contraindications
en,When should Metformin not be used?,Metformin,contraindications
en,Who should avoid Metformin?,Metformin,contraindications
en,What warnings should I know about Metformin?,Metformin,warnings
en,Are there any warnings about Metformin?,Metformin,warnings
en,What should I be careful about when taking Metformin?,Metformin,warnings
en,Does Metformin interact with other medicines?,Metformin,interactions
en,Can Metformin interact with other drugs?,Metformin,interactions
en,What medicines can interact with Metformin?,Metformin,interactions
en,How should Metformin be taken?,Metformin,dosage
en,How do I take Metformin?,Metformin,dosage
en,What is the dosage information for Metformin?,Metformin,dosage
en,What is Glipizide?,Glipizide,medicine_info
en,Tell me about Glipizide.,Glipizide,medicine_info
en,What do I need to know about Glipizide?,Glipizide,medicine_info
en,What is Glipizide used for?,Glipizide,uses
en,Why is Glipizide used?,Glipizide,uses
en,What conditions is Glipizide used for?,Glipizide,uses
en,What are the side effects of Glipizide?,Glipizide,side_effects
en,Can Glipizide cause any side effects?,Glipizide,side_effects
en,What problems can Glipizide cause?,Glipizide,side_effects
en,Who should not take Glipizide?,Glipizide,contraindications
en,When should Glipizide not be used?,Glipizide,contraindications
en,Who should avoid Glipizide?,Glipizide,contraindications
en,What warnings should I know about Glipizide?,Glipizide,warnings
en,Are there any warnings about Glipizide?,Glipizide,warnings
en,What should I be careful about when taking Glipizide?,Glipizide,warnings
en,Does Glipizide interact with other medicines?,Glipizide,interactions
en,Can Glipizide interact with other drugs?,Glipizide,interactions
en,What medicines can interact with Glipizide?,Glipizide,interactions
en,How should Glipizide be taken?,Glipizide,dosage
en,How do I take Glipizide?,Glipizide,dosage
en,What is the dosage information for Glipizide?,Glipizide,dosage
en,What is Glimepiride?,Glimepiride,medicine_info
en,Tell me about Glimepiride.,Glimepiride,medicine_info
en,What do I need to know about Glimepiride?,Glimepiride,medicine_info
en,What is Glimepiride used for?,Glimepiride,uses
en,Why is Glimepiride used?,Glimepiride,uses
