language,query,medicine,intent
en,Can you tell me about Metformin?,Metformin,medicine_info
en,I want to know more about Metformin.,Metformin,medicine_info
en,What should I know about Metformin?,Metformin,medicine_info
en,Give me some information about Metformin.,Metformin,medicine_info
en,Can you tell me about Aspirin?,Aspirin,medicine_info
en,I want to know more about Aspirin.,Aspirin,medicine_info
en,What should I know about Aspirin?,Aspirin,medicine_info
en,Give me some information about Aspirin.,Aspirin,medicine_info
en,Can you tell me about Paracetamol?,Paracetamol,medicine_info
en,I want to know more about Paracetamol.,Paracetamol,medicine_info
en,What should I know about Paracetamol?,Paracetamol,medicine_info
en,Give me some information about Paracetamol.,Paracetamol,medicine_info
en,Can you tell me about Ibuprofen?,Ibuprofen,medicine_info
en,I want to know more about Ibuprofen.,Ibuprofen,medicine_info
en,What should I know about Ibuprofen?,Ibuprofen,medicine_info
en,Give me some information about Ibuprofen.,Ibuprofen,medicine_info
en,What is Metformin used to treat?,Metformin,uses
en,Why is Metformin prescribed?,Metformin,uses
en,What conditions is Metformin used for?,Metformin,uses
en,What is the purpose of taking Metformin?,Metformin,uses
en,What is Aspirin used to treat?,Aspirin,uses
en,Why is Aspirin prescribed?,Aspirin,uses
en,What conditions is Aspirin used for?,Aspirin,uses
en,What is the purpose of taking Aspirin?,Aspirin,uses
en,What is Paracetamol used to treat?,Paracetamol,uses
en,Why is Paracetamol prescribed?,Paracetamol,uses
en,What conditions is Paracetamol used for?,Paracetamol,uses
en,What is the purpose of taking Paracetamol?,Paracetamol,uses
en,What is Ibuprofen used to treat?,Ibuprofen,uses
en,Why is Ibuprofen prescribed?,Ibuprofen,uses
en,What conditions is Ibuprofen used for?,Ibuprofen,uses
en,What is the purpose of taking Ibuprofen?,Ibuprofen,uses
en,What side effects can Metformin cause?,Metformin,side_effects
en,Can Metformin cause any unwanted effects?,Metformin,side_effects
en,What problems might occur after taking Metformin?,Metformin,side_effects
en,Are there any adverse effects of Metformin?,Metformin,side_effects
en,What side effects can Aspirin cause?,Aspirin,side_effects
en,Can Aspirin cause any unwanted effects?,Aspirin,side_effects
en,What problems might occur after taking Aspirin?,Aspirin,side_effects
en,Are there any adverse effects of Aspirin?,Aspirin,side_effects
en,What side effects can Paracetamol cause?,Paracetamol,side_effects
en,Can Paracetamol cause any unwanted effects?,Paracetamol,side_effects
en,What problems might occur after taking Paracetamol?,Paracetamol,side_effects
en,Are there any adverse effects of Paracetamol?,Paracetamol,side_effects
en,What side effects can Ibuprofen cause?,Ibuprofen,side_effects
en,Can Ibuprofen cause any unwanted effects?,Ibuprofen,side_effects
en,What problems might occur after taking Ibuprofen?,Ibuprofen,side_effects
en,Are there any adverse effects of Ibuprofen?,Ibuprofen,side_effects
en,Who should not take Metformin?,Metformin,contraindications
en,When should Metformin be avoided?,Metformin,contraindications
en,Are there people who cannot use Metformin?,Metformin,contraindications
en,When is Metformin not suitable?,Metformin,contraindications
en,Who should not take Aspirin?,Aspirin,contraindications
en,When should Aspirin be avoided?,Aspirin,contraindications
en,Are there people who cannot use Aspirin?,Aspirin,contraindications
en,When is Aspirin not suitable?,Aspirin,contraindications
en,Who should not take Paracetamol?,Paracetamol,contraindications
en,When should Paracetamol be avoided?,Paracetamol,contraindications
en,Are there people who cannot use Paracetamol?,Paracetamol,contraindications
en,When is Paracetamol not suitable?,Paracetamol,contraindications
en,Who should not take Ibuprofen?,Ibuprofen,contraindications
en,When should Ibuprofen be avoided?,Ibuprofen,contraindications
en,Are there people who cannot use Ibuprofen?,Ibuprofen,contraindications
en,When is Ibuprofen not suitable?,Ibuprofen,contraindications
en,What precautions should I take with Metformin?,Metformin,warnings
en,Are there any warnings about Metformin?,Metformin,warnings
en,What should I be careful about when using Metformin?,Metformin,warnings
en,What safety information should I know about Metformin?,Metformin,warnings
en,What precautions should I take with Aspirin?,Aspirin,warnings
en,Are there any warnings about Aspirin?,Aspirin,warnings
en,What should I be careful about when using Aspirin?,Aspirin,warnings
en,What safety information should I know about Aspirin?,Aspirin,warnings
en,What precautions should I take with Paracetamol?,Paracetamol,warnings
en,Are there any warnings about Paracetamol?,Paracetamol,warnings
en,What should I be careful about when using Paracetamol?,Paracetamol,warnings
en,What safety information should I know about Paracetamol?,Paracetamol,warnings
en,What precautions should I take with Ibuprofen?,Ibuprofen,warnings
en,Are there any warnings about Ibuprofen?,Ibuprofen,warnings
en,What should I be careful about when using Ibuprofen?,Ibuprofen,warnings
en,What safety information should I know about Ibuprofen?,Ibuprofen,warnings
en,Can Metformin interact with other medicines?,Metformin,interactions
en,Which medicines should not be taken with Metformin?,Metformin,interactions
en,Is it safe to combine Metformin with other drugs?,Metformin,interactions
en,Does Metformin have any drug interactions?,Metformin,interactions
en,Can Aspirin interact with other medicines?,Aspirin,interactions
en,Which medicines should not be taken with Aspirin?,Aspirin,interactions
en,Is it safe to combine Aspirin with other drugs?,Aspirin,interactions
en,Does Aspirin have any drug interactions?,Aspirin,interactions
en,Can Paracetamol interact with other medicines?,Paracetamol,interactions
en,Which medicines should not be taken with Paracetamol?,Paracetamol,interactions
en,Is it safe to combine Paracetamol with other drugs?,Paracetamol,interactions
en,Does Paracetamol have any drug interactions?,Paracetamol,interactions
en,Can Ibuprofen interact with other medicines?,Ibuprofen,interactions
en,Which medicines should not be taken with Ibuprofen?,Ibuprofen,interactions
en,Is it safe to combine Ibuprofen with other drugs?,Ibuprofen,interactions
en,Does Ibuprofen have any drug interactions?,Ibuprofen,interactions
en,How much Metformin should be taken?,Metformin,dosage
en,What is the usual dose of Metformin?,Metformin,dosage
en,How should the dose of Metformin be taken?,Metformin,dosage
en,What amount of Metformin is recommended?,Metformin,dosage
en,How much Aspirin should be taken?,Aspirin,dosage
en,What is the usual dose of Aspirin?,Aspirin,dosage
en,How should the dose of Aspirin be taken?,Aspirin,dosage
en,What amount of Aspirin is recommended?,Aspirin,dosage
en,How much Paracetamol should be taken?,Paracetamol,dosage
en,What is the usual dose of Paracetamol?,Paracetamol,dosage
en,How should the dose of Paracetamol be taken?,Paracetamol,dosage
en,What amount of Paracetamol is recommended?,Paracetamol,dosage
en,How much Ibuprofen should be taken?,Ibuprofen,dosage
en,What is the usual dose of Ibuprofen?,Ibuprofen,dosage
en,How should the dose of Ibuprofen be taken?,Ibuprofen,dosage
en,What amount of Ibuprofen is recommended?,Ibuprofen,dosage
kn,Metformin ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿ.,Metformin,medicine_info
kn,Metformin ಔಷಧಿಯ ಬಗ್ಗೆ ತಿಳಿಸಿ.,Metformin,medicine_info
